recipe,meal,total_mass_g,status,issues,kcal,protein,fat,carbs,fiber
Тёплый боул с фасолью и рисом,Обед,390,approved,,514.3,18.8,10.6,90.0,15.5
Тост с консервированным тунцом и авокадо,Обед,373,approved,,461.6,43.3,14.3,43.1,11.4
Тёплый кускус с чечевицей и шпинатом,Ужин,395,approved,,471.5,23.6,6.5,82.0,17.3
Гречка с яйцом и шпинатом,Обед,374,approved,,483.5,27.9,18.9,58.5,10.0
Картофель с фасолью и томатным соусом,Обед,545,approved,,425.6,20.4,1.4,86.2,17.7
Чечевица с рисом и морковью,Обед,437,approved,,480.7,20.3,1.8,98.5,17.5
Омлет с картофелем и шпинатом,Ужин,354,approved,,346.8,20.9,16.4,31.2,5.1
Булгур с чечевицей и морковью,Ужин,437,approved,,489.6,22.5,5.9,94.2,24.0
Рис с фасолью и перцем,Ужин,437,approved,,482.7,19.8,2.0,97.3,14.2
"Овсянка с бананом, льном и сливочным маслом",Завтрак,170,approved,,385.4,9.8,13.2,59.4,10.3
Овсянка с яблоком и семенами льна,Завтрак,185,approved,,319.3,9.3,8.3,53.8,11.1
Рис с курицей и морковью,Обед,452,approved,,506.3,40.8,5.1,72.9,5.8
Индейка с гречкой и морковью,Обед,464,approved,,516.1,47.2,9.2,66.1,11.6
Треска с картофелем и морковью,Ужин,524,approved,,396.3,36.2,5.7,50.3,8.5
Курица с булгуром и кабачком,Ужин,471,approved,,484.1,44.4,9.4,58.6,10.9
Рисовая каша с бананом на воде,Завтрак,160,approved,,305.0,5.3,0.9,70.4,3.4
Омлет с кабачком и помидорами,Завтрак,324,approved,,242.0,17.7,16.5,8.3,2.2
Курица с рисом и кабачком,Обед,474,approved,,533.9,41.4,9.2,70.0,5.2
Индейка с картофелем и кабачком,Обед,514,approved,,399.6,41.6,6.9,41.7,6.2
Треска с рисом и морковью,Ужин,479,approved,,478.4,37.7,6.4,67.1,5.4
Курица с картофелем и шпинатом,Ужин,444,approved,,400.9,40.2,8.4,39.9,6.4
Тост с яичным салатом и огурцом,Перекус,241,approved,,275.3,19.6,9.5,30.0,4.8
Рисовая каша с бананом и черникой,Завтрак,387,approved,,470.8,11.1,12.4,81.2,4.4
Тост с яйцом и авокадо,Завтрак,270,approved,,369.6,18.8,18.1,37.7,9.9
Овсянка с бананом и семенами льна,Завтрак,165,approved,,345.9,10.1,8.3,60.0,10.8
Яичный тост с огурцом,Завтрак,230,approved,,273.7,17.6,9.0,33.0,5.4
Кускус с яйцом и помидорами,Обед,344,approved,,383.4,17.3,10.7,55.1,4.9
"Тост с хумусом, яйцом и огурцом",Обед,310,approved,,414.6,24.5,16.5,46.9,10.3
Салат с консервированным тунцом и кускусом,Обед,415,approved,,448.5,40.2,6.7,55.4,5.2
Тёплый рис с яйцом и шпинатом,Обед,310,approved,,377.2,16.4,7.2,62.9,3.7
Яичница с помидорами и шпинатом,Ужин,314,approved,,244.7,18.7,16.5,8.5,3.0
Тофу с помидорами и шпинатом,Ужин,364,approved,,277.4,31.4,15.0,13.2,6.3
Консервированный тунец с картофелем и огурцом,Ужин,455,approved,,358.3,35.6,6.3,39.2,5.3
Кускус с тофу и огурцом,Ужин,440,approved,,482.9,35.7,14.2,59.4,7.9
Булгур с индейкой и кабачком,Ужин,420,approved,,488.3,45.5,8.6,60.4,11.4
Гречка с курицей и грибами,Ужин,450,approved,,471.8,42.7,11.2,52.8,8.2
Рис с индейкой и овощами,Ужин,485,approved,,482.7,42.6,3.5,68.2,6.1
Чечевица с томатами и шпинатом,Ужин,455,approved,,318.9,20.0,6.4,50.2,19.1
Киноа с курицей и брокколи,Ужин,410,approved,,473.0,46.6,8.2,54.2,9.5
Перловка с индейкой и грибами,Ужин,455,approved,,428.5,42.6,3.2,57.7,12.1
Рис с тофу и овощами,Ужин,467,approved,,536.6,36.9,16.7,66.8,7.6
Гречка с чечевицей и морковью,Ужин,410,approved,,434.2,23.1,3.0,86.0,21.5
Булгур с нутом и томатами,Ужин,428,approved,,508.0,22.7,5.2,99.7,22.8
Киноа с тофу и шпинатом,Ужин,430,approved,,496.5,39.8,18.6,51.2,10.7
Рис с курицей и тыквой,Ужин,425,approved,,477.6,40.3,4.8,67.1,3.3
Чечевица с индейкой и овощами,Ужин,560,approved,,420.9,51.9,3.4,48.0,18.1
Курица с брокколи в аэрогриле,Ужин,329,approved,,302.4,40.6,10.8,11.9,4.2
Индейка с кабачком в аэрогриле,Ужин,337,approved,,264.3,40.0,8.9,5.3,1.7
Лосось с брокколи в аэрогриле,Ужин,340,approved,,435.8,36.6,26.5,12.6,4.6
Треска с кабачком в аэрогриле,Ужин,370,approved,,225.0,34.6,6.8,6.7,2.1
Креветки с перцем в аэрогриле,Ужин,337,approved,,241.3,35.9,6.3,10.6,3.4
Тофу с брокколи в аэрогриле,Ужин,356,approved,,355.3,36.1,20.9,17.2,7.9
Курица с бататом в аэрогриле,Ужин,357,approved,,408.4,39.0,10.3,38.0,5.7
Индейка с цветной капустой в аэрогриле,Ужин,346,approved,,280.4,41.3,8.9,9.0,3.6
Форель с кабачком в аэрогриле,Ужин,350,approved,,314.2,35.0,16.0,6.7,2.1
Тофу с бататом в аэрогриле,Ужин,377,approved,,464.6,34.5,21.5,42.0,9.1
Креветки с брокколи в аэрогриле,Ужин,347,approved,,246.6,38.8,6.5,12.7,4.5
Курица с цветной капустой в аэрогриле,Ужин,347,approved,,290.0,39.4,10.7,9.0,3.6
