recipe,ingredient,grams,kcal_100,protein_100,fat_100,carbs_100,fiber_100,protein_contribution,kcal_contribution
Боул с креветками и киноа,Помидоры,150,18,0.9,0.2,3.9,1.2,1.35,27.0
Боул с креветками и киноа,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Боул с креветками и киноа,Оливковое масло,14,884,0,100,0,0,0.0,123.8
Боул с креветками и киноа,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Боул с креветками и киноа,Соль,0.8,0,0,0,0,0,0.0,0.0
Чечевичный боул с овощами,Чечевица готовая,100,116,9.0,0.4,20.1,7.9,9.0,116.0
Чечевичный боул с овощами,Булгур,75,342,12,1.3,76,12.5,9.0,256.5
Чечевичный боул с овощами,Брокколи,180,34,2.8,0.4,7,2.6,5.04,61.2
Чечевичный боул с овощами,Перец,150,31,1,0.3,6,2.1,1.5,46.5
Чечевичный боул с овощами,Тахини,33,595,17,54,21,9.3,5.61,196.3
Чечевичный боул с овощами,Лимон,24,29,1.1,0.3,9.3,2.8,0.26,7.0
Чечевичный боул с овощами,Чеснок,4,149,6.4,0.5,33.1,2.1,0.26,6.0
Чечевичный боул с овощами,Соль,0.7,0,0,0,0,0,0.0,0.0
Чечевичный боул с овощами,Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
"Боул с фасолью, киноа и авокадо",Фасоль готовая,150,127,8.7,0.5,22.8,6.4,13.05,190.5
"Боул с фасолью, киноа и авокадо",Киноа,65,368,14,6,64,7,9.1,239.2
"Боул с фасолью, киноа и авокадо",Перец,120,31,1,0.3,6,2.1,1.2,37.2
"Боул с фасолью, киноа и авокадо",Авокадо,70,160,2,15,8.5,6.7,1.4,112.0
"Боул с фасолью, киноа и авокадо",Тахини,33,595,17,54,21,9.3,5.61,196.3
"Боул с фасолью, киноа и авокадо",Лимон,24,29,1.1,0.3,9.3,2.8,0.26,7.0
"Боул с фасолью, киноа и авокадо",Чеснок,4,149,6.4,0.5,33.1,2.1,0.26,6.0
"Боул с фасолью, киноа и авокадо",Соль,0.7,0,0,0,0,0,0.0,0.0
"Боул с фасолью, киноа и авокадо",Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Творог с малиной,Творог 5%,120,121,17,5,3,0,20.4,145.2
Творог с малиной,Малина,60,52,1.2,0.7,12,6.5,0.72,31.2
Творог с голубикой,Творог 5%,120,121,17,5,3,0,20.4,145.2
Творог с голубикой,Голубика,60,57,0.7,0.3,14,2.4,0.42,34.2
Творог с ягодами и орехами,Творог 5%,180,121,17,5,3,0,30.6,217.8
Творог с ягодами и орехами,Черника,60,57,0.7,0.3,14,2.4,0.42,34.2
Творог с ягодами и орехами,Малина,60,52,1.2,0.7,12,6.5,0.72,31.2
Творог с ягодами и орехами,Миндаль,15,579,21,50,22,12.5,3.15,86.8
Йогурт с клубникой,Греческий йогурт 2%,120,73,9,2,4,0,10.8,87.6
Йогурт с клубникой,Клубника,72,32,0.7,0.3,7.7,2,0.5,23.0
Йогурт с черникой и чиа,Греческий йогурт 2%,120,73,9,2,4,0,10.8,87.6
Йогурт с черникой и чиа,Черника,60,57,0.7,0.3,14,2.4,0.42,34.2
Йогурт с черникой и чиа,Семена чиа,10,486,17,31,42,34,1.7,48.6
Кефир с голубикой,"Кефир 2,5%",150,53,3,2.5,4,0,4.5,79.5
Кефир с голубикой,Голубика,60,57,0.7,0.3,14,2.4,0.42,34.2
Кефир с голубикой,Фисташки,12,562,20,45,28,10,2.4,67.4
Яблоко с миндалём,Яблоко,150,52,0.3,0.2,14,2.4,0.45,78.0
Яблоко с миндалём,Миндаль,18,579,21,50,22,12.5,3.78,104.2
Груша с миндалём,Груша,96,57,0.4,0.1,15,3.1,0.38,54.7
Груша с миндалём,Миндаль,12,579,21,50,22,12.5,2.52,69.5
Банан с греческим йогуртом,Банан,110,89,1.1,0.3,23,2.6,1.21,97.9
Банан с греческим йогуртом,Греческий йогурт 2%,120,73,9,2,4,0,10.8,87.6
Киви с йогуртом,Киви,78,61,1.1,0.5,15,3,0.86,47.6
Киви с йогуртом,Греческий йогурт 2%,120,73,9,2,4,0,10.8,87.6
Тост с творогом и перцем,Хлеб цельнозерновой,70,252,12.45,3.5,42.71,6,8.71,176.4
Тост с творогом и перцем,Творог 5%,120,121,17,5,3,0,20.4,145.2
Тост с творогом и перцем,Перец,90,31,1,0.3,6,2.1,0.9,27.9
Тост с творогом и перцем,Помидоры,100,18,0.9,0.2,3.9,1.2,0.9,18.0
Тост с творогом и перцем,Соль,0.6,0,0,0,0,0,0.0,0.0
Тост с творогом и перцем,Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Тост с творогом и перцем,Укроп,2,43,3.5,1.1,7,2.1,0.07,0.9
Персик с йогуртом и миндалём,Персик,90,39,0.9,0.3,10,1.5,0.81,35.1
Персик с йогуртом и миндалём,Греческий йогурт 2%,120,73,9,2,4,0,10.8,87.6
Персик с йогуртом и миндалём,Миндаль,12,579,21,50,22,12.5,2.52,69.5
Ягодный микс с йогуртом,Клубника,72,32,0.7,0.3,7.7,2,0.5,23.0
Ягодный микс с йогуртом,Малина,60,52,1.2,0.7,12,6.5,0.72,31.2
Ягодный микс с йогуртом,Черника,60,57,0.7,0.3,14,2.4,0.42,34.2
Ягодный микс с йогуртом,Греческий йогурт 2%,120,73,9,2,4,0,10.8,87.6
Ежевика с творогом,Ежевика,60,43,1.4,0.5,10,5.3,0.84,25.8
Ежевика с творогом,Творог 5%,120,121,17,5,3,0,20.4,145.2
Ежевика с творогом,Мёд,10,304,0.3,0,82,0.2,0.03,30.4
Смородина с йогуртом,Чёрная смородина,60,63,1.4,0.4,15,6.8,0.84,37.8
Смородина с йогуртом,Греческий йогурт 2%,120,73,9,2,4,0,10.8,87.6
Смородина с йогуртом,Мёд,10,304,0.3,0,82,0.2,0.03,30.4
Хумус с огурцом и перцем,Хумус,36,166,8,10,14,6,2.88,59.8
Хумус с огурцом и перцем,Огурцы,90,15,0.7,0.1,3.6,0.5,0.63,13.5
Хумус с огурцом и перцем,Перец,90,31,1,0.3,6,2.1,0.9,27.9
Хумус с морковью и огурцом,Хумус,36,166,8,10,14,6,2.88,59.8
Хумус с морковью и огурцом,Морковь,72,41,0.9,0.2,10,2.8,0.65,29.5
Хумус с морковью и огурцом,Огурцы,90,15,0.7,0.1,3.6,0.5,0.63,13.5
Тост с хумусом и помидором,Хлеб цельнозерновой,36,252,12.45,3.5,42.71,6,4.48,90.7
Тост с хумусом и помидором,Хумус,36,166,8,10,14,6,2.88,59.8
Тост с хумусом и помидором,Помидоры,90,18,0.9,0.2,3.9,1.2,0.81,16.2
"Тост с рикоттой, помидорами и базиликом",Хлеб цельнозерновой,70,252,12.45,3.5,42.71,6,8.71,176.4
"Тост с рикоттой, помидорами и базиликом",Рикотта,110,174,11,13,3,0,12.1,191.4
"Тост с рикоттой, помидорами и базиликом",Помидоры,120,18,0.9,0.2,3.9,1.2,1.08,21.6
"Тост с рикоттой, помидорами и базиликом",Базилик,4,23,3.2,0.6,2.7,1.6,0.13,0.9
"Тост с рикоттой, помидорами и базиликом",Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Тост с тунцом в собственном соку и огурцом,Хлеб цельнозерновой,36,252,12.45,3.5,42.71,6,4.48,90.7
Тост с тунцом в собственном соку и огурцом,Огурцы,90,15,0.7,0.1,3.6,0.5,0.63,13.5
Тост с тунцом в собственном соку и огурцом,Тунец консервированный в собственном соку,96,116,25.5,0.8,0,0,24.48,111.4
Яйцо с помидорами и огурцом,Яйца,60,143,12.6,9.5,0.7,0,7.56,85.8
Яйцо с помидорами и огурцом,Помидоры,100,18,0.9,0.2,3.9,1.2,0.9,18.0
Яйцо с помидорами и огурцом,Огурцы,100,15,0.7,0.1,3.6,0.5,0.7,15.0
Яйцо с помидорами и огурцом,Соль,0.3,0,0,0,0,0,0.0,0.0
Яйцо с помидорами и огурцом,Чёрный перец,0.1,251,10.4,3.3,64,25,0.01,0.3
Мини-омлет со шпинатом,Яйца,60,143,12.6,9.5,0.7,0,7.56,85.8
Мини-омлет со шпинатом,Шпинат,60,23,2.9,0.4,3.6,2.2,1.74,13.8
Мини-омлет со шпинатом,Моцарелла,48,254,24.3,15.9,2.8,0,11.66,121.9
Смузи клубника-банан,Клубника,72,32,0.7,0.3,7.7,2,0.5,23.0
Смузи клубника-банан,Банан,72,89,1.1,0.3,23,2.6,0.79,64.1
Смузи клубника-банан,"Кефир 2,5%",150,53,3,2.5,4,0,4.5,79.5
Смузи черника-йогурт,Черника,60,57,0.7,0.3,14,2.4,0.42,34.2
Смузи черника-йогурт,Греческий йогурт 2%,120,73,9,2,4,0,10.8,87.6
Смузи черника-йогурт,Банан,72,89,1.1,0.3,23,2.6,0.79,64.1
Смузи киви-манго,Киви,78,61,1.1,0.5,15,3,0.86,47.6
Смузи киви-манго,Манго,84,60,0.8,0.4,15,1.6,0.67,50.4
Смузи киви-манго,"Кефир 2,5%",150,53,3,2.5,4,0,4.5,79.5
Ореховый перекус с яблоком,Яблоко,90,52,0.3,0.2,14,2.4,0.27,46.8
Ореховый перекус с яблоком,Грецкие орехи,12,654,15,65,14,6.7,1.8,78.5
Фисташки с мандарином,Фисташки,12,562,20,45,28,10,2.4,67.4
Фисташки с мандарином,Мандарин,84,53,0.8,0.3,13,1.8,0.67,44.5
Фета с помидорами и огурцом,Фета,42,265,14.2,21.5,3.9,0,5.96,111.3
Фета с помидорами и огурцом,Помидоры,90,18,0.9,0.2,3.9,1.2,0.81,16.2
Фета с помидорами и огурцом,Огурцы,90,15,0.7,0.1,3.6,0.5,0.63,13.5
Мини-тост с авокадо и помидором,Авокадо,42,160,2,15,8.5,6.7,0.84,67.2
Мини-тост с авокадо и помидором,Хлеб цельнозерновой,36,252,12.45,3.5,42.71,6,4.48,90.7
Мини-тост с авокадо и помидором,Помидоры,90,18,0.9,0.2,3.9,1.2,0.81,16.2
Чиа-йогурт с клюквой,Семена чиа,10,486,17,31,42,34,1.7,48.6
Чиа-йогурт с клюквой,Греческий йогурт 2%,120,73,9,2,4,0,10.8,87.6
Чиа-йогурт с клюквой,Клюква,48,46,0.4,0.1,12,4.6,0.19,22.1
Курица с овощами на сковороде,Курица,153,120,22.5,2.6,0,0,34.42,183.6
Курица с овощами на сковороде,Кабачок,162,17,1.2,0.3,3.1,1,1.94,27.5
Курица с овощами на сковороде,Перец,135,31,1,0.3,6,2.1,1.35,41.9
Курица с овощами на сковороде,Брокколи,162,34,2.8,0.4,7,2.6,4.54,55.1
Курица с овощами на сковороде,Горчица,10,66,4.4,4,5.8,3.3,0.44,6.6
Курица с овощами на сковороде,Мёд,8,304,0.3,0,82,0.2,0.02,24.3
Курица с овощами на сковороде,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Курица с овощами на сковороде,Оливковое масло,5,884,0,100,0,0,0.0,44.2
Курица с овощами на сковороде,Соль,0.8,0,0,0,0,0,0.0,0.0
Курица с овощами на сковороде,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Курица с овощами на сковороде,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Курица с овощами на сковороде,Соевый соус,12,53,8.1,0.6,4.9,0.8,0.97,6.4
Курица с овощами на сковороде,Имбирь,3,80,1.8,0.8,17.8,2,0.05,2.4
Курица с цветной капустой,Курица,153,120,22.5,2.6,0,0,34.42,183.6
Курица с цветной капустой,Цветная капуста,162,25,1.9,0.3,5,2,3.08,40.5
Курица с цветной капустой,Шпинат,90,23,2.9,0.4,3.6,2.2,2.61,20.7
Курица с цветной капустой,Оливковое масло,19,884,0,100,0,0,0.0,168.0
Курица с цветной капустой,Горчица,17,66,4.4,4,5.8,3.3,0.75,11.2
Курица с цветной капустой,Мёд,14,304,0.3,0,82,0.2,0.04,42.6
Курица с цветной капустой,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Курица с цветной капустой,Соль,0.8,0,0,0,0,0,0.0,0.0
Курица с цветной капустой,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Курица с цветной капустой,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Индейка с брокколи,Индейка,153,114,23.7,1.5,0,0,36.26,174.4
Индейка с брокколи,Брокколи,162,34,2.8,0.4,7,2.6,4.54,55.1
Индейка с брокколи,Кабачок,162,17,1.2,0.3,3.1,1,1.94,27.5
Индейка с брокколи,Оливковое масло,15,884,0,100,0,0,0.0,132.6
Индейка с брокколи,Горчица,10,66,4.4,4,5.8,3.3,0.44,6.6
Индейка с брокколи,Мёд,8,304,0.3,0,82,0.2,0.02,24.3
Индейка с брокколи,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Индейка с брокколи,Соль,0.8,0,0,0,0,0,0.0,0.0
Индейка с брокколи,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Индейка с брокколи,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Индейка с брокколи,Соевый соус,12,53,8.1,0.6,4.9,0.8,0.97,6.4
Индейка с брокколи,Имбирь,3,80,1.8,0.8,17.8,2,0.05,2.4
Индейка с бататом,Индейка,153,114,23.7,1.5,0,0,36.26,174.4
Индейка с бататом,Батат,198,86,1.6,0.1,20,3,3.17,170.3
Индейка с бататом,Салат,90,15,1.4,0.2,2.9,1.3,1.26,13.5
Индейка с бататом,Уксус бальзамический,22,88,0.5,0,17,0,0.11,19.4
Индейка с бататом,Оливковое масло,12,884,0,100,0,0,0.0,106.1
Индейка с бататом,Горчица,8,66,4.4,4,5.8,3.3,0.35,5.3
Индейка с бататом,Соль,0.8,0,0,0,0,0,0.0,0.0
Индейка с бататом,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Индейка с бататом,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Говядина с овощами,Говядина,144,176,21.4,10.0,0,0,30.82,253.4
Говядина с овощами,Брокколи,162,34,2.8,0.4,7,2.6,4.54,55.1
Говядина с овощами,Перец,135,31,1,0.3,6,2.1,1.35,41.9
Говядина с овощами,Кабачок,162,17,1.2,0.3,3.1,1,1.94,27.5
Говядина с овощами,Горчица,16,66,4.4,4,5.8,3.3,0.7,10.6
Говядина с овощами,Мёд,8,304,0.3,0,82,0.2,0.02,24.3
Говядина с овощами,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Говядина с овощами,Оливковое масло,5,884,0,100,0,0,0.0,44.2
Говядина с овощами,Соль,0.9,0,0,0,0,0,0.0,0.0
Говядина с овощами,Чёрный перец,0.4,251,10.4,3.3,64,25,0.04,1.0
Говядина с овощами,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Говядина с овощами,Соевый соус,12,53,8.1,0.6,4.9,0.8,0.97,6.4
Говядина с овощами,Имбирь,3,80,1.8,0.8,17.8,2,0.05,2.4
Свинина с капустой,Свинина постная,144,143,21.4,5.7,0,0,30.82,205.9
Свинина с капустой,Капуста,135,25,1.3,0.1,5.8,2.5,1.75,33.8
Свинина с капустой,Морковь,108,41,0.9,0.2,10,2.8,0.97,44.3
Свинина с капустой,Оливковое масло,19,884,0,100,0,0,0.0,168.0
Свинина с капустой,Горчица,16,66,4.4,4,5.8,3.3,0.7,10.6
Свинина с капустой,Мёд,8,304,0.3,0,82,0.2,0.02,24.3
Свинина с капустой,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Свинина с капустой,Соль,0.9,0,0,0,0,0,0.0,0.0
Свинина с капустой,Чёрный перец,0.4,251,10.4,3.3,64,25,0.04,1.0
Свинина с капустой,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Свинина с капустой,Уксус винный,8,19,0,0,0.3,0,0.0,1.5
Форель с брокколи и картофелем,Форель,160,148,20.5,6.5,0,0,32.8,236.8
Форель с брокколи и картофелем,Брокколи,170,34,2.8,0.4,7,2.6,4.76,57.8
Форель с брокколи и картофелем,Картофель,220,77,2,0.1,17,2.2,4.4,169.4
Форель с брокколи и картофелем,Лимон,15,29,1.1,0.3,9.3,2.8,0.17,4.3
Форель с брокколи и картофелем,Оливковое масло,5,884,0,100,0,0,0.0,44.2
Форель с брокколи и картофелем,Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
Форель с брокколи и картофелем,Соль,0.7,0,0,0,0,0,0.0,0.0
Форель с брокколи и картофелем,Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Лосось с бататом,Батат,198,86,1.6,0.1,20,3,3.17,170.3
Лосось с бататом,Шпинат,90,23,2.9,0.4,3.6,2.2,2.61,20.7
Лосось с бататом,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Лосось с бататом,Оливковое масло,14,884,0,100,0,0,0.0,123.8
Лосось с бататом,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Лосось с бататом,Соль,0.8,0,0,0,0,0,0.0,0.0
Лосось с бататом,Лосось свежий,144,208,20,13,0,0,28.8,299.5
Форель с овощами,Форель,144,148,20.5,6.5,0,0,29.52,213.1
Форель с овощами,Кабачок,162,17,1.2,0.3,3.1,1,1.94,27.5
Форель с овощами,Помидоры,135,18,0.9,0.2,3.9,1.2,1.22,24.3
Форель с овощами,Салат,90,15,1.4,0.2,2.9,1.3,1.26,13.5
Форель с овощами,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Форель с овощами,Оливковое масло,14,884,0,100,0,0,0.0,123.8
Форель с овощами,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Форель с овощами,Соль,0.8,0,0,0,0,0,0.0,0.0
Треска с брокколи,Треска,171,82,18,0.7,0,0,30.78,140.2
Треска с брокколи,Брокколи,162,34,2.8,0.4,7,2.6,4.54,55.1
Треска с брокколи,Картофель,225,77,2,0.1,17,2.2,4.5,173.2
Треска с брокколи,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Треска с брокколи,Оливковое масло,14,884,0,100,0,0,0.0,123.8
Треска с брокколи,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Треска с брокколи,Соль,0.8,0,0,0,0,0,0.0,0.0
Треска с брокколи,Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
Треска с цветной капустой,Треска,171,82,18,0.7,0,0,30.78,140.2
Треска с цветной капустой,Цветная капуста,162,25,1.9,0.3,5,2,3.08,40.5
Треска с цветной капустой,Шпинат,90,23,2.9,0.4,3.6,2.2,2.61,20.7
Треска с цветной капустой,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Треска с цветной капустой,Оливковое масло,14,884,0,100,0,0,0.0,123.8
Треска с цветной капустой,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Треска с цветной капустой,Соль,0.8,0,0,0,0,0,0.0,0.0
Салат с тунцом в собственном соку и авокадо,Салат,90,15,1.4,0.2,2.9,1.3,1.26,13.5
Салат с тунцом в собственном соку и авокадо,Огурцы,135,15,0.7,0.1,3.6,0.5,0.94,20.2
Салат с тунцом в собственном соку и авокадо,Помидоры,135,18,0.9,0.2,3.9,1.2,1.22,24.3
Салат с тунцом в собственном соку и авокадо,Авокадо,63,160,2,15,8.5,6.7,1.26,100.8
Салат с тунцом в собственном соку и авокадо,Тунец консервированный в собственном соку,144,116,25.5,0.8,0,0,36.72,167.0
Салат с тунцом в собственном соку и авокадо,Лимон,25,29,1.1,0.3,9.3,2.8,0.28,7.2
Салат с тунцом в собственном соку и авокадо,Оливковое масло,13,884,0,100,0,0,0.0,114.9
Салат с тунцом в собственном соку и авокадо,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Салат с тунцом в собственном соку и авокадо,Горчица,6,66,4.4,4,5.8,3.3,0.26,4.0
Креветки с кабачком,Креветки сырые,162,85,20.1,0.5,0.2,0,32.56,137.7
Креветки с кабачком,Кабачок,162,17,1.2,0.3,3.1,1,1.94,27.5
Креветки с кабачком,Перец,135,31,1,0.3,6,2.1,1.35,41.9
Креветки с кабачком,Шпинат,90,23,2.9,0.4,3.6,2.2,2.61,20.7
Креветки с кабачком,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Креветки с кабачком,Оливковое масло,14,884,0,100,0,0,0.0,123.8
Креветки с кабачком,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Креветки с кабачком,Соль,0.8,0,0,0,0,0,0.0,0.0
Креветки с брокколи,Креветки сырые,162,85,20.1,0.5,0.2,0,32.56,137.7
Креветки с брокколи,Брокколи,162,34,2.8,0.4,7,2.6,4.54,55.1
Креветки с брокколи,Помидоры,135,18,0.9,0.2,3.9,1.2,1.22,24.3
Креветки с брокколи,Оливковое масло,24,884,0,100,0,0,0.0,212.2
Креветки с брокколи,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Креветки с брокколи,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Креветки с брокколи,Соль,0.8,0,0,0,0,0,0.0,0.0
Скумбрия с салатом,Скумбрия,135,205,19,14,0,0,25.65,276.8
Скумбрия с салатом,Салат,90,15,1.4,0.2,2.9,1.3,1.26,13.5
Скумбрия с салатом,Огурцы,135,15,0.7,0.1,3.6,0.5,0.94,20.2
Скумбрия с салатом,Помидоры,135,18,0.9,0.2,3.9,1.2,1.22,24.3
Скумбрия с салатом,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Скумбрия с салатом,Оливковое масло,14,884,0,100,0,0,0.0,123.8
Скумбрия с салатом,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Скумбрия с салатом,Соль,0.8,0,0,0,0,0,0.0,0.0
Омлет с овощами,Яйца,120,143,12.6,9.5,0.7,0,15.12,171.6
Омлет с овощами,Шпинат,90,23,2.9,0.4,3.6,2.2,2.61,20.7
Омлет с овощами,Помидоры,135,18,0.9,0.2,3.9,1.2,1.22,24.3
Омлет с овощами,Перец,135,31,1,0.3,6,2.1,1.35,41.9
Омлет с овощами,Соль,0.7,0,0,0,0,0,0.0,0.0
Омлет с овощами,Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Омлет с фетой и шпинатом,Яйца,120,143,12.6,9.5,0.7,0,15.12,171.6
Омлет с фетой и шпинатом,Фета,40,265,14.2,21.5,3.9,0,5.68,106.0
Омлет с фетой и шпинатом,Шпинат,80,23,2.9,0.4,3.6,2.2,2.32,18.4
Омлет с фетой и шпинатом,Оливковое масло,4,884,0,100,0,0,0.0,35.4
Омлет с фетой и шпинатом,Соль,0.7,0,0,0,0,0,0.0,0.0
Омлет с фетой и шпинатом,Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Тофу с брокколи,Тофу,162,144,17,9,3,2,27.54,233.3
Тофу с брокколи,Брокколи,162,34,2.8,0.4,7,2.6,4.54,55.1
Тофу с брокколи,Перец,135,31,1,0.3,6,2.1,1.35,41.9
Тофу с брокколи,Оливковое масло,10,884,0,100,0,0,0.0,88.4
Тофу с брокколи,Соевый соус,30,53,8.1,0.6,4.9,0.8,2.43,15.9
Тофу с брокколи,Имбирь,8,80,1.8,0.8,17.8,2,0.14,6.4
Тофу с брокколи,Чеснок,6,149,6.4,0.5,33.1,2.1,0.38,8.9
Тофу с баклажаном,Тофу,162,144,17,9,3,2,27.54,233.3
Тофу с баклажаном,Баклажан,162,25,1,0.2,6,3,1.62,40.5
Тофу с баклажаном,Помидоры,135,18,0.9,0.2,3.9,1.2,1.22,24.3
Тофу с баклажаном,Шпинат,90,23,2.9,0.4,3.6,2.2,2.61,20.7
Тофу с баклажаном,Соевый соус,30,53,8.1,0.6,4.9,0.8,2.43,15.9
Тофу с баклажаном,Имбирь,8,80,1.8,0.8,17.8,2,0.14,6.4
Тофу с баклажаном,Чеснок,6,149,6.4,0.5,33.1,2.1,0.38,8.9
Тофу с баклажаном,Лайм,10,30,0.7,0.2,10.5,2.8,0.07,3.0
Чечевица с овощами,Чечевица готовая,90,116,9.0,0.4,20.1,7.9,8.1,104.4
Чечевица с овощами,Помидоры,135,18,0.9,0.2,3.9,1.2,1.22,24.3
Чечевица с овощами,Морковь,108,41,0.9,0.2,10,2.8,0.97,44.3
Чечевица с овощами,Шпинат,90,23,2.9,0.4,3.6,2.2,2.61,20.7
Чечевица с овощами,Тахини,33,595,17,54,21,9.3,5.61,196.3
Чечевица с овощами,Лимон,24,29,1.1,0.3,9.3,2.8,0.26,7.0
Чечевица с овощами,Чеснок,4,149,6.4,0.5,33.1,2.1,0.26,6.0
Чечевица с овощами,Соль,0.7,0,0,0,0,0,0.0,0.0
Чечевица с овощами,Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Нут с брокколи,Нут готовый,117,164,8.9,2.6,27.4,7.6,10.41,191.9
Нут с брокколи,Брокколи,162,34,2.8,0.4,7,2.6,4.54,55.1
Нут с брокколи,Помидоры,135,18,0.9,0.2,3.9,1.2,1.22,24.3
Нут с брокколи,Греческий йогурт 2%,180,73,9,2,4,0,16.2,131.4
Нут с брокколи,Тахини,33,595,17,54,21,9.3,5.61,196.3
Нут с брокколи,Лимон,24,29,1.1,0.3,9.3,2.8,0.26,7.0
Нут с брокколи,Чеснок,4,149,6.4,0.5,33.1,2.1,0.26,6.0
Нут с брокколи,Соль,0.7,0,0,0,0,0,0.0,0.0
Нут с брокколи,Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Фасоль с овощами,Фасоль готовая,117,127,8.7,0.5,22.8,6.4,10.18,148.6
Фасоль с овощами,Перец,135,31,1,0.3,6,2.1,1.35,41.9
Фасоль с овощами,Помидоры,135,18,0.9,0.2,3.9,1.2,1.22,24.3
Фасоль с овощами,Авокадо,63,160,2,15,8.5,6.7,1.26,100.8
Фасоль с овощами,Тахини,33,595,17,54,21,9.3,5.61,196.3
Фасоль с овощами,Лимон,24,29,1.1,0.3,9.3,2.8,0.26,7.0
Фасоль с овощами,Чеснок,4,149,6.4,0.5,33.1,2.1,0.26,6.0
Фасоль с овощами,Соль,0.7,0,0,0,0,0,0.0,0.0
Фасоль с овощами,Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Тёплый салат с курицей,Курица,153,120,22.5,2.6,0,0,34.42,183.6
Тёплый салат с курицей,Салат,90,15,1.4,0.2,2.9,1.3,1.26,13.5
Тёплый салат с курицей,Помидоры,135,18,0.9,0.2,3.9,1.2,1.22,24.3
Тёплый салат с курицей,Огурцы,135,15,0.7,0.1,3.6,0.5,0.94,20.2
Тёплый салат с курицей,Авокадо,63,160,2,15,8.5,6.7,1.26,100.8
Тёплый салат с курицей,Уксус бальзамический,22,88,0.5,0,17,0,0.11,19.4
Тёплый салат с курицей,Оливковое масло,12,884,0,100,0,0,0.0,106.1
Тёплый салат с курицей,Горчица,8,66,4.4,4,5.8,3.3,0.35,5.3
Тёплый салат с курицей,Соль,0.8,0,0,0,0,0,0.0,0.0
Тёплый салат с курицей,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Тёплый салат с курицей,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Тёплый салат с индейкой и свёклой,Индейка,153,114,23.7,1.5,0,0,36.26,174.4
Тёплый салат с индейкой и свёклой,Салат,90,15,1.4,0.2,2.9,1.3,1.26,13.5
Тёплый салат с индейкой и свёклой,Свёкла,135,43,1.6,0.2,10,2.8,2.16,58.0
Тёплый салат с индейкой и свёклой,Огурцы,135,15,0.7,0.1,3.6,0.5,0.94,20.2
Тёплый салат с индейкой и свёклой,Уксус бальзамический,22,88,0.5,0,17,0,0.11,19.4
Тёплый салат с индейкой и свёклой,Оливковое масло,12,884,0,100,0,0,0.0,106.1
Тёплый салат с индейкой и свёклой,Горчица,8,66,4.4,4,5.8,3.3,0.35,5.3
