recipe,meal,status,issues,step_count,ingredients
Батат с тофу и авокадо,Обед,approved,,5,"Батат, Тофу, Авокадо, Салат, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок"
Батат с нутом и брокколи,Обед,approved,,6,"Батат, Нут готовый, Брокколи, Греческий йогурт 2%, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Тёплый салат с треской,Обед,approved,,5,"Треска, Картофель, Салат, Помидоры, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Творог с вишней,Перекус,approved,,3,"Творог 5%, Вишня"
Йогурт с клубникой и чиа,Перекус,approved,,4,"Греческий йогурт 2%, Клубника, Семена чиа"
Груша с грецким орехом,Перекус,approved,,4,"Груша, Грецкие орехи"
Тост с творогом и кабачком,Перекус,approved,,4,"Хлеб цельнозерновой, Творог 5%, Кабачок, Помидоры, Соль, Чёрный перец, Укроп"
Хумус с огурцом и кабачком,Перекус,approved,,4,"Хумус, Огурцы, Кабачок"
Мини-омлет с брокколи,Перекус,approved,,5,"Яйца, Брокколи, Моцарелла"
Смузи клубникой-йогурт,Перекус,approved,,2,"Клубника, Греческий йогурт 2%, Банан"
Ореховый перекус с грушейм,Перекус,approved,,4,"Груша, Грецкие орехи"
Индейка с овощами на сковороде,Ужин,approved,,4,"Индейка, Кабачок, Перец, Брокколи, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Тофу с цветной капустой,Ужин,approved,,4,"Тофу, Цветная капуста, Шпинат, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок"
Курица с брокколи,Ужин,approved,,4,"Курица, Брокколи, Кабачок, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Курица с бататом,Ужин,approved,,5,"Курица, Батат, Салат, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок"
Индейка с баклажаном и булгуром,Ужин,approved,,6,"Индейка, Баклажан, Булгур, Греческий йогурт 2%, Чеснок, Лимон, Петрушка, Соль, Чёрный перец"
Лосось с зелёной фасолью,Ужин,approved,,4,"Лосось свежий, Зелёная фасоль, Салат, Лимон, Оливковое масло, Чёрный перец, Соль"
Треска с бататом,Ужин,approved,,5,"Треска, Батат, Шпинат, Лимон, Оливковое масло, Чёрный перец, Соль"
Треска с зелёной фасолью,Ужин,approved,,5,"Треска, Зелёная фасоль, Картофель, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Лосось с цветной капустой,Ужин,approved,,4,"Лосось свежий, Цветная капуста, Шпинат, Лимон, Оливковое масло, Чёрный перец, Соль"
Креветки с баклажаном,Ужин,approved,,4,"Креветки сырые, Баклажан, Перец, Шпинат, Лимон, Оливковое масло, Чёрный перец, Соль"
Креветки с зелёной фасолью,Ужин,approved,,4,"Креветки сырые, Зелёная фасоль, Помидоры, Оливковое масло, Лимон, Чёрный перец, Соль"
"Фриттата с брокколи, фетой и помидорами",Ужин,approved,,6,"Яйца, Брокколи, Фета, Помидоры, Оливковое масло, Соль, Чёрный перец"
Тофу с зелёной фасолью,Ужин,approved,,4,"Тофу, Зелёная фасоль, Перец, Оливковое масло, Соевый соус, Имбирь, Чеснок"
Нут с зелёной фасолью,Ужин,approved,,5,"Нут готовый, Зелёная фасоль, Помидоры, Греческий йогурт 2%, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Тёплый салат с тофу,Ужин,approved,,4,"Тофу, Салат, Помидоры, Огурцы, Авокадо, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок"
Тёплый салат с курицей и свёклой,Ужин,approved,,4,"Курица, Салат, Свёкла, Огурцы, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок"
Запечённый бататом с творогом и зеленью,Ужин,approved,,5,"Батат, Творог 5%, Огурцы, Салат, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец"
Баклажан с курицей,Ужин,approved,,5,"Баклажан, Курица, Помидоры, Моцарелла, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок"
Кабачок с тофу и сыром,Ужин,approved,,5,"Кабачок, Тофу, Грюйер, Помидоры, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок"
Кабачком с фасолью и киноа,Ужин,approved,,5,"Кабачок, Фасоль готовая, Киноа, Помидоры, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Гречка с тофу и брокколи,Ужин,approved,,5,"Гречка, Тофу, Брокколи, Помидоры, Соевый соус, Имбирь, Чеснок, Лайм"
Кускус с креветками,Ужин,approved,,5,"Кускус, Креветки сырые, Кабачок, Помидоры, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Киноа с тунцом,Ужин,approved,,6,"Киноа, Тунец консервированный в собственном соку, Огурцы, Помидоры, Лимон, Оливковое масло, Чёрный перец"
Паста с тунцом и брокколи,Ужин,approved,,6,"Макароны цельнозерновые, Тунец консервированный в собственном соку, Брокколи, Помидоры, Лимон, Оливковое масло, Чёрный перец, Томатная паста, Чеснок, Базилик, Соль"
Омлет с индейкой и кабачком,Завтрак,approved,,6,"Яйца, Индейка, Кабачок, Соль, Чёрный перец, Оливковое масло, Чеснок, Соевый соус, Имбирь"
Скрэмбл с форелью и шпинатом,Завтрак,approved,,5,"Яйца, Форель, Шпинат, Соль, Чёрный перец, Оливковое масло, Лимон"
Тофу с рисом и брокколи,Обед,approved,,5,"Тофу, Рис, Брокколи, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Индейка с гречкой и кабачком,Обед,approved,,6,"Индейка, Гречка, Кабачок, Помидоры, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Греческий йогурт 2%, Укроп"
Индейка с булгуром и перцем,Обед,approved,,6,"Индейка, Булгур, Перец, Шпинат, Греческий йогурт 2%, Чеснок, Лимон, Укроп, Соль, Чёрный перец, Соевый соус, Имбирь"
Индейка с киноа и авокадо,Обед,approved,,5,"Индейка, Киноа, Авокадо, Огурцы, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок"
Индейка с перловкой и овощами,Обед,approved,,5,"Индейка, Перловка, Перец, Огурцы, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Индейка с киноаом,Обед,approved,,6,"Индейка, Киноа, Кабачок, Помидоры, Греческий йогурт 2%, Чеснок, Лимон, Укроп, Соль, Чёрный перец"
Индейка с булгуром,Обед,approved,,5,"Индейка, Булгур, Перец, Шпинат, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Говядина с перловкой и свёклой,Обед,approved,,5,"Говядина, Перловка, Свёкла, Огурцы, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок, Уксус винный"
Треска с киноа и авокадо,Обед,approved,,5,"Треска, Киноа, Авокадо, Огурцы, Лимон, Оливковое масло, Чёрный перец, Соль"
Форель с картофелем и зелёной фасолью,Обед,approved,,5,"Форель, Картофель, Зелёная фасоль, Лимон, Оливковое масло, Укроп, Соль, Чёрный перец"
Лосось с рисом и овощами,Обед,approved,,5,"Лосось свежий, Рис, Кабачок, Перец, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Треска с бататом и цветной капустой,Обед,approved,,5,"Треска, Батат, Цветная капуста, Лимон, Оливковое масло, Петрушка, Соль, Чёрный перец"
Креветки с рисом и зелёной фасолью,Обед,approved,,5,"Креветки сырые, Рис, Зелёная фасоль, Оливковое масло, Лимон, Чёрный перец, Соль, Укроп"
Тофу с перловкой и брокколи,Обед,approved,,5,"Тофу, Перловка, Брокколи, Перец, Соевый соус, Имбирь, Чеснок"
Паста с индейкой и шпинатом,Обед,approved,,5,"Индейка, Макароны цельнозерновые, Шпинат, Помидоры, Томатная паста, Чеснок, Базилик, Оливковое масло, Соль, Чёрный перец"
Паста с индейкой и баклажаном,Обед,approved,,5,"Индейка, Макароны цельнозерновые, Баклажан, Помидоры, Томатная паста, Чеснок, Базилик, Оливковое масло, Соль, Чёрный перец"
Булгур с индейкой и овощами,Обед,approved,,5,"Индейка, Булгур, Баклажан, Перец, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Кускус с индейкой и овощами,Обед,approved,,6,"Индейка, Кускус, Огурцы, Помидоры, Греческий йогурт 2%, Чеснок, Лимон, Укроп, Соль, Чёрный перец"
Батат с индейкой и авокадо,Обед,approved,,5,"Батат, Индейка, Авокадо, Салат, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок"
Тофу с овощами на сковороде,Ужин,approved,,4,"Тофу, Кабачок, Перец, Брокколи, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Индейка с цветной капустой,Ужин,approved,,4,"Индейка, Цветная капуста, Шпинат, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок"
Индейка с зелёной фасолью,Ужин,approved,,4,"Индейка, Зелёная фасоль, Кабачок, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Форель с брокколи,Ужин,approved,,4,"Форель, Брокколи, Салат, Лимон, Оливковое масло, Чёрный перец, Соль"
Форель с бататом,Ужин,approved,,5,"Форель, Батат, Шпинат, Лимон, Оливковое масло, Чёрный перец, Соль"
Форель с булгуром и брокколи,Ужин,approved,,5,"Форель, Булгур, Брокколи, Лимон, Оливковое масло, Укроп, Соль, Чёрный перец"
Кабачок с индейкой и сыром,Ужин,approved,,5,"Кабачок, Индейка, Грюйер, Помидоры, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок"
Перловка с тофу и шпинатом,Ужин,approved,,5,"Перловка, Тофу, Шпинат, Помидоры, Соевый соус, Имбирь, Чеснок, Лайм"
"Йогурт с бананом, чиа и миндалём",Завтрак,approved,,4,"Греческий йогурт 2%, Банан, Семена чиа, Миндаль"
"Йогурт с клубникой, овсянкой и миндалём",Завтрак,approved,,5,"Греческий йогурт 2%, Клубника, Овсянка, Миндаль"
Овсянка с вишней и грецкими орехами,Завтрак,approved,,5,"Овсянка, Молоко 3,2%, Вишня, Грецкие орехи, Соль"
Овсянка с грушей и миндалём,Завтрак,approved,,5,"Овсянка, Молоко 3,2%, Груша, Миндаль, Соль"
"Омлет с фетой, шпинатом и помидорами",Завтрак,approved,,6,"Яйца, Фета, Шпинат, Помидоры, Оливковое масло, Соль, Чёрный перец"
"Омлет с моцареллой, помидорами и базиликом",Завтрак,approved,,6,"Яйца, Моцарелла, Помидоры, Базилик, Оливковое масло, Соль"
"Тост с авокадо, яйцом и помидорами",Завтрак,approved,,6,"Хлеб цельнозерновой, Авокадо, Яйца, Помидоры, Лимон, Соль, Чёрный перец"
Творог с бананом и грецкими орехами,Завтрак,approved,,4,"Творог 5%, Банан, Грецкие орехи"
Греческий йогурт с манго и фисташками,Завтрак,approved,,4,"Греческий йогурт 2%, Манго, Фисташки"
"Киноа-боул с курицей, авокадо и томатами",Обед,approved,,5,"Курица, Киноа, Авокадо, Помидоры, Лимон, Оливковое масло, Соль, Чёрный перец"
"Булгур с индейкой, кабачком и йогуртовым соусом",Обед,approved,,6,"Индейка, Булгур, Кабачок, Греческий йогурт 2%, Чеснок, Лимон, Укроп, Соль"
"Кускус с курицей, перцем и лимонной заправкой",Обед,approved,,5,"Курица, Кускус, Перец, Лимон, Оливковое масло, Петрушка, Соль"
"Рис с индейкой, брокколи и соево-имбирным соусом",Обед,approved,,5,"Индейка, Рис, Брокколи, Соевый соус, Имбирь, Чеснок"
"Говядина с рисом, перцем и имбирём",Обед,approved,,5,"Говядина, Рис, Перец, Соевый соус, Имбирь, Чеснок"
"Тофу с киноа, брокколи и тахини",Обед,approved,,5,"Тофу, Киноа, Брокколи, Тахини, Лимон, Чеснок"
"Чечевица с булгуром, томатами и петрушкой",Обед,approved,,5,"Чечевица готовая, Булгур, Помидоры, Петрушка, Лимон, Оливковое масло"
"Нут с кускусом, перцем и тахини",Обед,approved,,5,"Нут готовый, Кускус, Перец, Тахини, Лимон, Чеснок"
Паста с курицей и томатно-базиликовым соусом,Обед,approved,,5,"Курица, Макароны цельнозерновые, Томатная паста, Помидоры, Чеснок, Базилик, Оливковое масло"
Паста с консервированным тунцом и томатами,Обед,approved,,6,"Тунец консервированный в собственном соку, Макароны цельнозерновые, Томатная паста, Помидоры, Чеснок, Базилик, Оливковое масло"
Лосось с киноа и зелёной фасолью,Ужин,approved,,5,"Лосось свежий, Киноа, Зелёная фасоль, Лимон, Оливковое масло, Укроп"
Треска с картофелем и лимонно-укропной заправкой,Ужин,approved,,5,"Треска, Картофель, Огурцы, Лимон, Оливковое масло, Укроп"
Форель с кускусом и брокколи,Ужин,approved,,5,"Форель, Кускус, Брокколи, Лимон, Оливковое масло, Укроп, Соль, Чёрный перец"
Креветки с рисом и кабачком в соево-имбирном соусе,Ужин,approved,,5,"Креветки сырые, Рис, Кабачок, Соевый соус, Имбирь, Чеснок"
Свинина с гречкой и горчичным соусом,Ужин,approved,,5,"Свинина постная, Гречка, Зелёная фасоль, Горчица, Уксус винный, Оливковое масло"
"Тёплый салат с курицей, свёклой и фетой",Ужин,approved,,5,"Курица, Свёкла, Салат, Фета, Уксус бальзамический, Оливковое масло, Горчица"
"Салат с консервированным тунцом, яйцом и картофелем",Ужин,approved,,6,"Тунец консервированный в собственном соку, Яйца, Картофель, Салат, Помидоры, Горчица, Лимон, Оливковое масло"
Запечённый батат с нутом и тахини,Ужин,approved,,5,"Батат, Нут готовый, Шпинат, Тахини, Лимон, Чеснок"
Тофу с баклажаном и рисом в соевом соусе,Ужин,approved,,5,"Тофу, Баклажан, Рис, Соевый соус, Имбирь, Чеснок"
"Киноа с чечевицей, огурцом и лимонной заправкой",Ужин,approved,,5,"Киноа, Чечевица готовая, Огурцы, Помидоры, Лимон, Оливковое масло, Петрушка"
Творог с малиной и миндалём,Перекус,approved,,4,"Творог 5%, Малина, Миндаль"
"Тост с хумусом, огурцом и перцем",Перекус,approved,,4,"Хлеб цельнозерновой, Хумус, Огурцы, Перец, Чёрный перец"
Кефир с бананом и льном,Перекус,approved,,4,"Кефир 2,5%, Банан, Семена льна"
Рикотта с клубникой и мёдом,Перекус,approved,,4,"Рикотта, Клубника, Мёд"
Йогурт с яблоком и грецкими орехами,Перекус,approved,,4,"Греческий йогурт 2%, Яблоко, Грецкие орехи"
Авокадо-тост с помидорами,Перекус,approved,,4,"Хлеб цельнозерновой, Авокадо, Помидоры, Лимон, Соль, Чёрный перец"
Скумбрия с картофелем и огуречным салатом,Ужин,approved,,6,"Скумбрия, Картофель, Огурцы, Греческий йогурт 2%, Укроп, Лимон"
"Индейка с перловкой, кабачком и шпинатом",Обед,approved,,6,"Индейка, Перловка, Кабачок, Шпинат, Греческий йогурт 2%, Чеснок"
Творог с клубникой и грецкими орехами,Перекус,approved,,4,"Творог 5%, Клубника, Грецкие орехи"
Кефир с черникой и чиа,Перекус,approved,,4,"Кефир 2,5%, Черника, Семена чиа"
Омлет с брокколи и чеддером,Завтрак,approved,,6,"Яйца, Брокколи, Чеддер, Оливковое масло, Соль, Чёрный перец"
Курица с гречкой и зелёной фасолью,Обед,approved,,6,"Курица, Гречка, Зелёная фасоль, Греческий йогурт 2%, Чеснок, Укроп"
Треска с киноа и кабачком,Ужин,approved,,5,"Треска, Киноа, Кабачок, Лимон, Оливковое масло, Петрушка"
Кускус с консервированным тунцом и огурцом,Обед,approved,,6,"Кускус, Тунец консервированный в собственном соку, Огурцы, Помидоры, Лимон, Оливковое масло"
Булгур быстрого приготовления с нутом и томатами,Обед,approved,,5,"Булгур, Нут готовый, Помидоры, Огурцы, Лимон, Оливковое масло"
Омлет с помидорами и фетой за 10 минут,Ужин,approved,,6,"Яйца, Помидоры, Фета, Шпинат, Оливковое масло, Соль, Чёрный перец"
Тофу с кабачком и соевым соусом,Ужин,approved,,4,"Тофу, Кабачок, Соевый соус, Имбирь, Чеснок, Оливковое масло"
Креветки с кускусом и лимоном,Ужин,approved,,5,"Креветки сырые, Кускус, Огурцы, Лимон, Оливковое масло, Петрушка"
Тёплый боул с фасолью и рисом,Обед,approved,,5,"Фасоль готовая, Рис, Помидоры, Авокадо, Лимон"
Тост с консервированным тунцом и авокадо,Обед,approved,,6,"Хлеб цельнозерновой, Тунец консервированный в собственном соку, Авокадо, Помидоры, Лимон, Чёрный перец"
Тёплый кускус с чечевицей и шпинатом,Ужин,approved,,5,"Кускус, Чечевица готовая, Шпинат, Помидоры, Лимон, Оливковое масло"
Гречка с яйцом и шпинатом,Обед,approved,,5,"Гречка, Яйца, Шпинат, Помидоры, Оливковое масло, Соль"
Картофель с фасолью и томатным соусом,Обед,approved,,5,"Картофель, Фасоль готовая, Томатная паста, Помидоры, Чеснок, Петрушка"
Чечевица с рисом и морковью,Обед,approved,,5,"Чечевица готовая, Рис, Морковь, Помидоры, Чеснок, Сушёные травы"
Омлет с картофелем и шпинатом,Ужин,approved,,5,"Яйца, Картофель, Шпинат, Оливковое масло, Соль, Чёрный перец"
Булгур с чечевицей и морковью,Ужин,approved,,5,"Булгур, Чечевица готовая, Морковь, Помидоры, Лимон, Оливковое масло"
Рис с фасолью и перцем,Ужин,approved,,5,"Рис, Фасоль готовая, Перец, Помидоры, Чеснок"
"Овсянка с бананом, льном и сливочным маслом",Завтрак,approved,,3,"Овсянка, Банан, Семена льна, Сливочное масло, Соль"
Овсянка с яблоком и семенами льна,Завтрак,approved,,2,"Овсянка, Яблоко, Семена льна, Соль"
Рис с курицей и морковью,Обед,approved,,5,"Курица, Рис, Морковь, Помидоры, Чеснок, Соль"
Индейка с гречкой и морковью,Обед,approved,,5,"Индейка, Гречка, Морковь, Кабачок, Оливковое масло, Соль"
Треска с картофелем и морковью,Ужин,approved,,5,"Треска, Картофель, Морковь, Лимон, Оливковое масло"
Курица с булгуром и кабачком,Ужин,approved,,5,"Курица, Булгур, Кабачок, Помидоры, Чеснок, Оливковое масло"
Рисовая каша с бананом на воде,Завтрак,approved,,2,"Рис, Банан, Соль"
Омлет с кабачком и помидорами,Завтрак,approved,,5,"Яйца, Кабачок, Помидоры, Оливковое масло, Соль"
Курица с рисом и кабачком,Обед,approved,,5,"Курица, Рис, Кабачок, Морковь, Оливковое масло, Соль"
Индейка с картофелем и кабачком,Обед,approved,,5,"Индейка, Картофель, Кабачок, Оливковое масло, Соль"
Треска с рисом и морковью,Ужин,approved,,5,"Треска, Рис, Морковь, Кабачок, Оливковое масло, Соль"
Курица с картофелем и шпинатом,Ужин,approved,,5,"Курица, Картофель, Шпинат, Оливковое масло, Соль"
Тост с яичным салатом и огурцом,Перекус,approved,,6,"Хлеб цельнозерновой, Яйца, Огурцы, Греческий йогурт 2%, Горчица, Укроп, Соль, Чёрный перец"
Рисовая каша с бананом и черникой,Завтрак,approved,,4,"Рис, Молоко 3,2%, Банан, Черника, Сливочное масло, Соль"
Тост с яйцом и авокадо,Завтрак,approved,,5,"Хлеб цельнозерновой, Яйца, Авокадо, Помидоры, Соль, Чёрный перец"
Овсянка с бананом и семенами льна,Завтрак,approved,,2,"Овсянка, Банан, Семена льна, Соль"
Яичный тост с огурцом,Завтрак,approved,,5,"Хлеб цельнозерновой, Яйца, Огурцы, Соль"
Кускус с яйцом и помидорами,Обед,approved,,5,"Кускус, Яйца, Помидоры, Огурцы, Оливковое масло"
"Тост с хумусом, яйцом и огурцом",Обед,approved,,5,"Хлеб цельнозерновой, Хумус, Яйца, Огурцы"
Салат с консервированным тунцом и кускусом,Обед,approved,,6,"Тунец консервированный в собственном соку, Кускус, Помидоры, Огурцы, Лимон, Оливковое масло"
Тёплый рис с яйцом и шпинатом,Обед,approved,,5,"Рис, Яйца, Шпинат, Помидоры, Соевый соус"
Яичница с помидорами и шпинатом,Ужин,approved,,5,"Яйца, Помидоры, Шпинат, Оливковое масло, Соль"
Тофу с помидорами и шпинатом,Ужин,approved,,4,"Тофу, Помидоры, Шпинат, Соевый соус, Чеснок"
Консервированный тунец с картофелем и огурцом,Ужин,approved,,6,"Тунец консервированный в собственном соку, Картофель, Огурцы, Лимон, Оливковое масло"
Кускус с тофу и огурцом,Ужин,approved,,5,"Кускус, Тофу, Огурцы, Помидоры, Соевый соус"
Булгур с индейкой и кабачком,Ужин,approved,,5,"Индейка, Булгур, Кабачок, Морковь, Оливковое масло, Соль"
Гречка с курицей и грибами,Ужин,approved,,6,"Курица, Гречка, Шампиньоны, Морковь, Лук, Оливковое масло"
Рис с индейкой и овощами,Ужин,approved,,4,"Индейка, Рис, Перец, Морковь, Помидоры"
Чечевица с томатами и шпинатом,Ужин,approved,,4,"Чечевица готовая, Помидоры, Шпинат, Морковь, Оливковое масло"
Киноа с курицей и брокколи,Ужин,approved,,4,"Курица, Киноа, Брокколи, Морковь"
Перловка с индейкой и грибами,Ужин,approved,,5,"Индейка, Перловка, Шампиньоны, Морковь, Лук"
Рис с тофу и овощами,Ужин,approved,,5,"Тофу, Рис, Перец, Кабачок, Соевый соус"
Гречка с чечевицей и морковью,Ужин,approved,,4,"Гречка, Чечевица готовая, Морковь, Помидоры"
Булгур с нутом и томатами,Ужин,approved,,5,"Булгур, Нут готовый, Помидоры, Морковь, Петрушка"
Киноа с тофу и шпинатом,Ужин,approved,,5,"Киноа, Тофу, Шпинат, Помидоры, Соевый соус"
Рис с курицей и тыквой,Ужин,approved,,4,"Рис, Курица, Тыква, Морковь"
Чечевица с индейкой и овощами,Ужин,approved,,4,"Чечевица готовая, Индейка, Помидоры, Морковь, Шпинат"
Курица с брокколи в аэрогриле,Ужин,approved,,4,"Курица, Брокколи, Оливковое масло, Паприка, Чеснок"
Индейка с кабачком в аэрогриле,Ужин,approved,,4,"Индейка, Кабачок, Оливковое масло, Паприка"
Лосось с брокколи в аэрогриле,Ужин,approved,,4,"Лосось свежий, Брокколи, Лимон, Оливковое масло"
Треска с кабачком в аэрогриле,Ужин,approved,,4,"Треска, Кабачок, Лимон, Оливковое масло"
Креветки с перцем в аэрогриле,Ужин,approved,,4,"Креветки сырые, Перец, Оливковое масло, Чеснок"
Тофу с брокколи в аэрогриле,Ужин,approved,,4,"Тофу, Брокколи, Соевый соус, Оливковое масло"
Курица с бататом в аэрогриле,Ужин,approved,,4,"Курица, Батат, Оливковое масло, Паприка"
Индейка с цветной капустой в аэрогриле,Ужин,approved,,4,"Индейка, Цветная капуста, Оливковое масло"
Форель с кабачком в аэрогриле,Ужин,approved,,4,"Форель, Кабачок, Лимон, Оливковое масло"
Тофу с бататом в аэрогриле,Ужин,approved,,4,"Тофу, Батат, Соевый соус, Оливковое масло"
Креветки с брокколи в аэрогриле,Ужин,approved,,4,"Креветки сырые, Брокколи, Оливковое масло, Лимон"
Курица с цветной капустой в аэрогриле,Ужин,approved,,4,"Курица, Цветная капуста, Оливковое масло, Паприка"
